rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
43,22,Luther Burden III,CHI,MIN,1,7.664,9.514,2.673,6.471,16.847,0.123,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. They rank 26th of 32 against the pass in week 1. Projected 4.5 targets, a 16% target share, 68% of the snaps. Last week he had 5 targets, a 19% target share and 73% of the snaps. Range 3-17 around a median of 6, 12% shot at a top-12 week.",
44,29,Rome Odunze,CHI,MIN,1,7.57,9.1,3.003,6.463,16.275,0.108,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. They rank 26th of 32 against the pass in week 1. Projected 5.2 targets, a 14% target share, 0.7 red-zone look, 67% of the snaps. Last week he had 3 targets, a 12% target share and 48% of the snaps. Range 3-16 around a median of 6, 11% shot at a top-12 week.",
45,47,Tre Tucker,LV,LAC,0,7.362,7.258,2.526,6.095,16.819,0.13,"5th-lowest implied total (18.2) against the 9th-best pass defense by EPA last year. They rank 24th of 32 against the pass in week 1. Projected 4.7 targets, a 16% target share, 78% of the snaps. Last week he had 4 targets, a 14% target share and 71% of the snaps. Range 3-17 around a median of 6, 13% shot at a top-12 week. New HC.",
46,64,Tre Harris,LAC,LV,1,7.345,5.962,2.524,6.541,16.204,0.117,"25.2-point implied total against 10th-worst pass defense by EPA last year. They rank 23rd of 32 against the pass in week 1. Projected 4.3 targets, a 17% target share, 67% of the snaps. Last week he had 6 targets, a 22% target share and 75% of the snaps. Range 3-16 around a median of 7, 12% shot at a top-12 week.",
47,58,Jerry Jeudy,CLE,TB,0,7.258,6.394,2.628,6.112,15.318,0.086,"1st-lowest implied total (16.0) against a mid-pack pass defense last year. They rank 16th of 32 against the pass in week 1. Projected 5.1 targets, a 19% target share, 65% of the snaps. Last week he had 4 targets, an 18% target share and 63% of the snaps. Range 3-15 around a median of 6, 9% shot at a top-12 week. New HC.",
48,54,Makai Lemon,PHI,TEN,0,7.036,6.85,2.408,6.137,15.602,0.088,"23.2-point implied total against 4th-worst pass defense by EPA last year. They rank 28th of 32 against the pass in week 1. Projected 4.0 targets, an 18% target share, 64% of the snaps. Usage in week 1 is actually fairly predictive. With only one game on the books, Lemon's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 2-16 around a median of 6, 9% shot at a top-12 week.",
49,40,Jayden Reed,GB,NYJ,0,7.02,8.185,2.441,5.936,14.931,0.067,"24.5-point implied total against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass in week 1. Projected 5.7 targets, a 14% target share, 56% of the snaps. Last week he had 7 targets, an 18% target share and 57% of the snaps. Range 2-15 around a median of 6, 7% shot at a top-12 week.",
50,57,Denzel Boston,CLE,TB,0,6.954,6.468,1.917,5.87,15.625,0.097,"1st-lowest implied total (16.0) against a mid-pack pass defense last year. They rank 16th of 32 against the pass in week 1. Projected 4.0 targets, an 18% target share, 92% of the snaps. Usage in week 1 is actually fairly predictive. With only one game on the books, Boston's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 2-16 around a median of 6, 10% shot at a top-12 week. New HC.",
51,25,Terry McLaurin,WAS,DAL,0,6.935,9.32,2.588,6.539,15.092,0.086,"23.5-point implied total against 2nd-worst pass defense by EPA last year. They rank 29th of 32 against the pass in week 1. Projected 5.0 targets, a 14% target share, 78% of the snaps. Last week he had 4 targets, a 14% target share and 87% of the snaps. Range 3-15 around a median of 7, 9% shot at a top-12 week.",
52,33,Josh Downs,IND,KC,0,6.924,8.928,2.471,5.732,15.291,0.083,"20.5-point implied total against a mid-pack pass defense last year. They rank 11th of 32 against the pass in week 1. Projected 4.8 targets, a 15% target share, 75% of the snaps. Last week he had 4 targets, a 14% target share and 89% of the snaps. Range 2-15 around a median of 6, 8% shot at a top-12 week.",
