rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
71,65,Cooper Kupp,SEA,ARI,0,7.055,7.568,2.187,5.957,15.972,0.038,"5th-highest implied total (27.2) against 7th-worst pass defense by EPA last year. 4.9 targets, a 15% target share, 0.7 red-zone look, 75% of the snaps. Range 2-16 around a median of 6, 4% shot at a top-12 week.",
72,75,Elic Ayomanor,TEN,PHI,1,6.91,6.816,1.571,4.927,17.052,0.058,"19.0-point implied total against the 7th-best pass defense by EPA last year. 5.9 targets, a 16% target share, 80% of the snaps. Range 2-17 around a median of 5, 6% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New HC.",
73,76,Antonio Williams,WAS,DAL,0,6.89,6.795,2.708,5.155,15.873,0.023,"23.5-point implied total against 2nd-worst pass defense by EPA last year. No NFL usage to price yet, so he is ranked off draft capital and a WR3 slot. Range 3-16 around a median of 5, 2% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
74,57,Jalen Nailor,LV,LAC,0,6.836,8.278,2.414,5.827,14.938,0.015,"1st-lowest implied total (17.0) against the 9th-best pass defense by EPA last year. 4.7 targets, a 13% target share, 64% of the snaps. Range 2-15 around a median of 6, 2% shot at a top-12 week. New HC. New team.",
75,54,Rashid Shaheed,SEA,ARI,0,6.816,8.416,2.669,5.824,13.993,0.002,"5th-highest implied total (27.2) against 7th-worst pass defense by EPA last year. 3.3 targets, a 10% target share, 62% of the snaps. Range 3-14 around a median of 6, 0% shot at a top-12 week.",
76,58,Adonai Mitchell,NYJ,GB,1,6.795,8.23,1.978,5.613,15.83,0.046,"5th-lowest implied total (18.5) against 11th-worst pass defense by EPA last year. 3.4 targets, a 10% target share, 61% of the snaps. Range 2-16 around a median of 6, 5% shot at a top-12 week.",
77,44,Jakobi Meyers,JAX,DEN,0,6.78,9.371,2.075,5.306,15.854,0.041,"20.2-point implied total against a top-5 pass defense by EPA last year. 4.6 targets, a 12% target share, 74% of the snaps. Range 2-16 around a median of 5, 4% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
78,72,Troy Franklin,DEN,JAX,1,6.646,6.91,2.099,5.287,15.645,0.037,"23.2-point implied total against a top-3 pass defense by EPA last year. 6.3 targets, a 17% target share, 0.7 red-zone look, 61% of the snaps. Range 2-16 around a median of 5, 4% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
79,73,Ted Hurst III,TB,CLE,1,6.511,6.89,2.021,5.523,15.633,0.036,"24.5-point implied total against a top-4 pass defense by EPA last year. No NFL usage to price yet, so he is ranked off draft capital and a WR4 slot. Range 2-16 around a median of 6, 4% shot at a top-12 week.",
80,68,Ja'Kobi Lane,BAL,NO,1,6.431,7.187,2.352,5.415,15.279,0.022,"6th-highest implied total (27.0) against the 12th-best pass defense by EPA last year. No NFL usage to price yet, so he is ranked off draft capital and a WR3 slot. Range 2-15 around a median of 5, 2% shot at a top-12 week. New HC.",
