player,year,n_ctl,carries_pg__case,carries_pg__ctl,targets_pg__case,targets_pg__ctl,touches_pg__case,touches_pg__ctl,opp_pg__case,opp_pg__ctl,rush_share__case,rush_share__ctl,tgt_share__case,tgt_share__ctl,snaps_pg__case,snaps_pg__ctl,snap_pct__case,snap_pct__ctl,ypc__case,ypc__ctl,yds_per_touch__case,yds_per_touch__ctl,epa_per_rush__case,epa_per_rush__ctl,success_rate__case,success_rate__ctl,explosive_rate__case,explosive_rate__ctl,stuff_rate__case,stuff_rate__ctl,rush_fd_rate__case,rush_fd_rate__ctl,yds_per_tgt__case,yds_per_tgt__ctl,ngs_ryoe_att__case,ngs_ryoe_att__ctl,rush_yds_pg__case,rush_yds_pg__ctl,scrim_yds_pg__case,scrim_yds_pg__ctl,ppr_pg__case,ppr_pg__ctl
Giovani Bernard,2016,240,-3.3125,-1.2151960784313722,-1.125,-0.34583333333333344,-4.625,-1.302083333333333,-4.4375,-1.1312499999999996,-0.07416398256915502,-0.05083111940106114,-0.01683412656442798,-0.010597330073327367,-10.625,-2.698529411764703,-0.09624999999999995,-0.038125000000000075,0.6783604581072931,-0.11436950146627556,0.4256756756756763,-0.1836691665913679,0.02341239885052339,-0.022186079677025364,-0.008318264014466559,-0.005698607007176004,0.057383966244725734,-0.009742245522062043,-0.050150693188667855,-0.00366300366300365,0.013261000602772743,-0.002876826406238181,-1.111538461538462,-0.25,,,-7.75,-7.285416666666666,-20.3125,-9.584821428571427,-4.09375,-1.8620833333333326
Jerick McKinnon,2018,180,-5.0625,-1.2125000000000004,-1.0,-0.37916666666666665,-5.875,-1.499509803921569,-6.0625,-1.5441176470588234,-0.12380561426799658,-0.046156382009144015,-0.04196750902527076,-0.012761770589934513,-13.0,-3.1761363636363633,-0.17937499999999995,-0.05049632352941179,0.44444444444444464,-0.24922323260451806,0.2002361673414299,-0.18454939811252702,0.05033127564976547,-0.03306233465090041,0.0,-0.003916891689168922,0.037037037037037035,-0.00933242547166599,-0.024691358024691357,0.0002482621648460803,0.06172839506172839,-0.004548229548229532,-1.532258064516129,0.13779181017986986,,,-15.4375,-7.84375,-26.875,-10.233333333333334,-1.9999999999999991,-1.8620833333333326
Jay Ajayi,2018,206,-8.166666666666666,-1.1333333333333337,-1.9166666666666667,-0.34583333333333344,-9.791666666666666,-0.9562499999999998,-10.083333333333334,-1.0687499999999996,-0.29882712901580827,-0.03892562369884184,-0.04579831932773109,-0.00836256997504619,-24.0,-2.5625,-0.3108333333333333,-0.040000000000000036,-1.2934782608695654,-0.1251125112511251,-1.6761904761904765,-0.22049251210669096,-0.1163716459103141,-0.010956930414975995,-0.06956521739130433,-0.002083333333333326,-0.052173913043478265,-0.008300477277443458,0.004347826086956524,0.00293198750300408,0.08260869565217391,0.00020475020475019257,-5.333333333333333,-0.05442942942942963,,,-39.375,-6.388392857142858,-51.375,-7.71875,-10.5125,-1.4199862637362646
Lamar Miller,2019,123,-14.375,-2.2750000000000004,-0.375,-0.4642857142857144,-14.125,-2.6607142857142847,-14.75,-2.8181818181818183,-0.46558704453441296,-0.06878828995518271,-0.01819044606137299,-0.011857030259415369,-35.875,-4.644886363636363,-0.50625,-0.056950757575757543,,,-2.325581395348837,-0.11527777777777715,,,,,,,,,,,-1.473684210526316,-0.052855740355740366,,,-75.25,-13.6875,-79.875,-16.897727272727273,-10.7375,-3.0977272727272744
Rashaad Penny,2019,127,-3.7083333333333335,-0.625,-1.25,-0.0625,-4.583333333333334,-0.4711538461538467,-4.958333333333334,-0.5,-0.08406593406593407,-0.020863491603937467,-0.04081632653061224,-0.0022556390977443615,-4.208333333333334,-1.375,-0.04374999999999998,-0.02471153846153845,-2.8751926040061635,0.08951183622091907,-3.257575757575758,-0.0003692654377585036,-0.2619596877815532,0.014134637902190161,-0.07704160246533126,0.014792617960426163,-0.13559322033898305,0.0015878554610949044,0.1710323574730354,-0.013187649760138101,-0.1802773497688752,0.0096970834791167,,,,,-32.666666666666664,-0.125,-41.041666666666664,-2.242647058823529,-7.979166666666667,-0.2358333333333329
Saquon Barkley,2020,135,-5.538461538461538,-2.1875,-0.740384615384615,-0.3235294117647056,-6.134615384615385,-2.1826923076923066,-6.278846153846153,-2.375,-0.27054138778276715,-0.06944231653133137,-0.008949026345933558,-0.008382946034184748,-19.41346153846154,-3.8605769230769234,-0.28057692307692306,-0.03937499999999999,-0.5617283950617287,-0.04951728433509839,-0.8292282430213467,-0.10018078087948679,0.042479393376747054,-0.02306238517735413,0.0030864197530864335,-0.012937825718094764,-0.05555555555555555,-0.006004415011037517,-0.054012345679012363,0.0,-0.014660493827160503,-0.0015673981191222652,-1.9713307659392383,0.09523809523809579,-0.5934251928961061,-0.0617353320635759,-30.384615384615387,-11.3125,-43.90384615384616,-14.25833333333334,-6.890384615384615,-2.4124999999999996
J.K. Dobbins,2021,123,-0.25,-0.625,0.0,-0.125,-0.125,-0.6875,-0.25,-0.5,0.06421955214225744,-0.021117424242424243,-0.0013024013024013,-0.0048760330578512395,-8.0,-1.4937499999999986,-0.09374999999999994,-0.03341346153846153,-0.07123034227567082,-0.06878306878306883,-0.08323232323232332,-0.12195121951219523,-0.12490429875552796,-0.009635914572168945,0.11771507863089736,0.0,0.04625346901017577,-0.01153039832285116,0.06776133209990748,0.0038684719535783396,0.027752081406105467,-0.002778996635951436,0.5,0.15061409179056273,0.06703755353341956,-0.01046654603913122,-2.25,-2.625,-1.75,-5.5625,-3.049999999999999,-1.0062499999999996
Gus Edwards,2021,115,1.041666666666666,-0.9375,-0.6527777777777778,-0.4874999999999998,0.16666666666666607,-1.0999999999999996,0.3888888888888893,-1.0749999999999993,0.05221557440603625,-0.027038991600554507,-0.029675277424049483,-0.011161439519905197,-3.458333333333332,-3.1500000000000004,-0.06652777777777774,-0.053083333333333316,-0.7476261869065466,-0.2873931877443734,-1.7729885057471266,-0.4690244855944936,-0.2955313741052554,-0.03902725463408664,-0.14292853573213393,-0.006990387333898784,0.0334832583708146,-0.009866776870453349,0.06246876561719142,0.007425143006204699,-0.0029985007496251548,0.00024820084061788483,-16.857142857142858,-0.17378351539225445,0.15044377734200853,0.08306074265641028,-1.2638888888888857,-7.875,-16.013888888888886,-8.875,-2.7263888888888896,-1.382142857142858
Javonte Williams,2022,107,1.0625,-0.8088235294117645,-0.375,-0.125,0.875,-0.8382352941176467,0.6875,-1.0,0.06723101459943565,-0.028510602771748217,-0.009639249639249642,-0.007088852748016735,-3.8125,-1.5625,-0.06187500000000001,-0.03294117647058831,-0.5231797235023041,-0.14141414141414144,-0.4685454545454548,-0.12195121951219523,-0.08603760311018048,-0.013389907176291044,-0.06437788018433177,-0.012937825718094764,0.006774193548387097,-0.010000917515368385,0.03815668202764977,0.005617801211436457,-0.031059907834101397,-0.0015673981191222652,0.05603448275862055,-0.13468013468013407,0.15185281079477464,0.07220223756540833,-2.75,-5.674999999999997,-4.0,-6.61666666666666,-0.9625000000000021,-1.1079545454545467
Breece Hall,2022,60,0.4509803921568629,-0.4970238095238102,0.4215686274509798,-0.1625000000000001,1.7549019607843146,-0.21590909090909172,0.8725490196078454,-0.34375,0.07474226804123707,-0.01348719413759955,0.027186387341135626,-0.005529146541907511,2.4019607843137223,-0.8249999999999993,0.05009803921568634,-0.021029411764705908,-0.6873377389662494,-0.07711495081354536,-1.109522971307868,-0.12457142246236819,-0.2193586928819239,-0.019674884560614378,-0.08024545669105498,-0.010424559443400538,-0.09452442766108095,-0.014906471088076086,0.06242624498465896,0.009489062549038058,-0.09245928723153177,-0.0028279115210948086,-0.8112054329371814,-0.003927139037433136,0.1527138372023475,0.23050331059257706,-6.696078431372555,-3.90625,-8.264705882352942,-6.412499999999994,-0.34607843137255045,-1.3718749999999993
Nick Chubb,2023,80,-5.5,-2.729166666666667,-1.0,-0.4017857142857142,-6.75,-3.06737012987013,-6.5,-3.0232142857142863,-0.01596467391304346,-0.07000230328109647,-0.0529398176457,-0.008871107148398324,-11.0,-4.1585784313725505,-0.1825,-0.05007018716577541,-1.5944131077088368,-0.17369066789356635,-1.7751784988680561,-0.16355976725590704,-0.22047980295930492,-0.022377231247605302,-0.08152027934461453,-0.0068721179535741195,-0.10851463873220521,-0.008452389978661878,0.06607574536663982,0.009562338255789685,-0.05640612409347298,-0.01324448325338319,-3.7081339712918657,-0.2928571428571427,-0.6364208335316754,-0.07612552463371297,-47.0,-15.007352941176473,-58.625,-17.580882352941178,-5.612499999999999,-3.4666666666666677
Keaton Mitchell,2023,42,-2.428571428571429,0.7541666666666669,-1.0857142857142859,0.5576923076923077,-3.2285714285714286,1.30625,-3.5142857142857142,1.5187499999999998,-0.07606396480243674,0.024617548362016295,-0.03621013133208255,0.008926789181566253,-8.514285714285712,3.422794117647058,-0.12057142857142858,0.048874999999999974,-6.5,0.2214880730735811,-5.286111111111111,0.3271032803365248,-0.7089500993163439,0.024780244479326606,-0.27368421052631575,0.018079289131920723,-0.21052631578947367,-0.0006951968219573862,0.05614035087719299,-0.05197779033674026,-0.2350877192982456,0.011106151531683442,19.333333333333336,-0.1454545454545455,,,-40.142857142857146,3.15625,-45.68571428571428,6.6875,-7.082857142857143,1.0335227272727272
