qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0022121,Rex Grossman,1,22,1,1.6923076923076923,0.46153846153846156,1.2307692307692308,-0.03510574572152225,11.403076923076924,0,24,2011,2011,4,NOT EFFICIENT + NOT RUSHING
00-0029682,Brock Osweiler,2,57,1,9.466666666666667,-0.06666666666666667,9.533333333333333,-0.06304025508022236,11.365333333333332,0,28,2016,2016,4,NOT EFFICIENT + NOT RUSHING
00-0026898,Mark Sanchez,1,5,4,7.270833333333334,0.9979166666666667,6.10625,-0.13903252391914844,11.226666666666667,1,10,2009,2012,4,NOT EFFICIENT + NOT RUSHING
00-0029677,Brandon Weeden,1,22,1,7.733333333333333,0.8666666666666667,6.866666666666666,-0.0537760645242094,11.133333333333333,0,26,2012,2012,4,NOT EFFICIENT + NOT RUSHING
00-0025479,Trent Edwards,3,92,1,9.285714285714286,3.0714285714285716,6.214285714285714,0.021962814056515997,11.068571428571428,0,23,2008,2008,4,NOT EFFICIENT + NOT RUSHING
00-0040676,Cam Ward,1,1,1,9.941176470588236,1.0588235294117647,8.882352941176471,-0.16715381673962734,11.038823529411765,0,22,2025,2025,4,NOT EFFICIENT + NOT RUSHING
00-0034771,Mason Rudolph,3,76,1,4.9,-0.1,5.0,-0.09964889566955705,10.95,0,30,2019,2019,4,NOT EFFICIENT + NOT RUSHING
00-0024279,Tarvaris Jackson,2,64,1,7.666666666666667,0.8666666666666667,6.8,-0.026144403922879172,10.742666666666667,0,20,2011,2011,4,NOT EFFICIENT + NOT RUSHING
00-0026197,Chad Henne,2,57,3,4.533333333333333,1.2666666666666666,4.066666666666666,-0.012550899004020677,10.581333333333333,0,23,2009,2013,4,NOT EFFICIENT + NOT RUSHING
00-0005589,Gus Frerotte,7,197,1,1.7272727272727273,0.45454545454545453,1.2727272727272727,-0.11660058214489603,10.016363636363637,0,29,2008,2008,4,NOT EFFICIENT + NOT RUSHING
00-0003292,Kerry Collins,1,5,1,3.8125,0.8125,3.0,0.044728739905599814,9.20875,0,24,2008,2008,4,NOT EFFICIENT + NOT RUSHING
00-0025388,JaMarcus Russell,1,1,1,8.6,3.1333333333333333,5.466666666666667,-0.13288702889922627,9.188,0,26,2008,2008,4,NOT EFFICIENT + NOT RUSHING
00-0004161,Jake Delhomme,,,2,4.017045454545455,1.2215909090909092,2.7954545454545454,-0.04673184445034493,9.119204545454545,0,20,2008,2009,4,NOT EFFICIENT + NOT RUSHING
00-0019599,Marc Bulger,6,168,1,3.3333333333333335,0.3333333333333333,3.0,-0.1863313972214271,8.271999999999998,0,27,2008,2008,4,NOT EFFICIENT + NOT RUSHING
00-0034343,Josh Rosen,1,10,1,10.357142857142858,0.0,10.357142857142858,-0.3261077119906417,8.115714285714287,0,34,2018,2018,4,NOT EFFICIENT + NOT RUSHING
00-0027948,Blaine Gabbert,1,10,1,7.466666666666667,0.6666666666666666,6.8,-0.22656451982216938,7.850666666666667,0,28,2011,2011,4,NOT EFFICIENT + NOT RUSHING
00-0027659,Jimmy Clausen,2,48,1,4.538461538461538,0.0,4.538461538461538,-0.2759015028574974,4.478461538461538,0,37,2010,2010,4,NOT EFFICIENT + NOT RUSHING
