seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared,variant
17,TE,ppr,2025,model,6.0,15.0,27.0,125.00000000000001,3.1999999999999993,12.5,2.0,0.6051566952267693,44,weeks1_6
101,QB,qb_4pt,2021,model,5.0,19.0,34.0,262.2,5.6333333333333355,15.0,0.0,0.7206638676574915,48,week1
101,QB,qb_4pt,2022,model,7.0,20.0,33.0,252.16000000000003,2.4049999999999963,9.5,0.0,0.7965959524547745,46,week1
101,QB,qb_4pt,2023,model,5.0,17.0,32.0,161.94,6.37666666666667,17.5,1.0,0.5271656374191772,44,week1
101,QB,qb_4pt,2024,model,8.0,19.0,33.0,224.14000000000004,3.3699999999999997,9.5,0.0,0.8622207017171192,49,week1
101,QB,qb_4pt,2025,model,5.0,18.0,33.0,206.54000000000002,9.789999999999997,13.5,0.0,0.6390820035325759,44,week1
101,RB,ppr,2021,model,5.0,15.0,26.0,171.10000000000002,7.041666666666664,13.5,2.0,0.6014936678968411,48,week1
101,RB,ppr,2022,model,4.0,15.0,25.0,181.30000000000004,8.108333333333333,19.5,0.0,0.5300747809185705,48,week1
101,RB,ppr,2023,model,5.0,10.0,26.0,173.4,6.358333333333334,20.0,1.0,0.3319845546399061,48,week1
101,RB,ppr,2024,model,4.0,15.0,27.0,213.00000000000003,4.425,15.5,1.0,0.34165316157563386,42,week1
101,RB,ppr,2025,model,6.0,17.0,26.0,210.00000000000003,2.441666666666665,12.0,0.0,0.5954026433940436,47,week1
101,TE,ppr,2021,model,5.0,14.0,22.0,138.79999999999998,5.716666666666671,17.5,2.0,0.4148673727904191,52,week1
101,TE,ppr,2022,model,4.0,14.0,23.0,94.39999999999999,5.825000000000002,17.5,5.0,0.5042034584275109,48,week1
101,TE,ppr,2023,model,3.0,11.0,23.0,64.7,5.033333333333334,24.0,6.0,0.23433262021528567,45,week1
101,TE,ppr,2024,model,6.0,13.0,24.0,71.0,5.133333333333333,13.5,5.0,0.4050991058802812,51,week1
101,TE,ppr,2025,model,6.0,16.0,26.0,109.1,4.525000000000001,13.5,2.0,0.5136491704543369,45,week1
101,WR,ppr,2021,model,5.0,10.0,21.0,216.60000000000002,9.983333333333334,28.5,0.0,0.23477343812136414,48,week1
101,WR,ppr,2022,model,5.0,11.0,19.0,248.10000000000002,5.566666666666663,16.5,1.0,0.380422596176109,49,week1
101,WR,ppr,2023,model,3.0,12.0,21.0,195.9,9.058333333333339,26.0,1.0,0.40194981014706344,43,week1
101,WR,ppr,2024,model,4.0,10.0,17.0,166.09999999999997,10.625,32.5,1.0,0.3105606436675633,45,week1
101,WR,ppr,2025,model,1.0,10.0,19.0,129.8,11.450000000000003,37.0,3.0,0.14826346287555997,49,week1
17,RB,ppr,2021,model,5.0,15.0,26.0,171.10000000000002,7.041666666666664,13.5,2.0,0.6018195335408484,48,week1
17,RB,ppr,2022,model,4.0,15.0,25.0,181.3,8.108333333333334,19.5,0.0,0.5281738979951945,48,week1
17,RB,ppr,2023,model,5.0,10.0,26.0,173.4,6.358333333333334,20.0,1.0,0.3388105421999568,47,week1
17,RB,ppr,2024,model,4.0,15.0,27.0,213.00000000000003,4.425,15.5,1.0,0.3311993527892826,42,week1
17,RB,ppr,2025,model,6.0,17.0,26.0,210.00000000000003,2.441666666666665,12.0,0.0,0.5833164786242927,47,week1
17,WR,ppr,2021,model,5.0,10.0,21.0,216.6,9.983333333333336,28.5,0.0,0.25220630271469235,48,week1
17,WR,ppr,2022,model,5.0,11.0,18.0,248.10000000000002,5.566666666666663,16.5,1.0,0.41557174536541835,48,week1
17,WR,ppr,2023,model,3.0,12.0,21.0,195.9,9.058333333333339,26.0,1.0,0.4046702826353685,43,week1
17,WR,ppr,2024,model,4.0,10.0,17.0,172.19999999999996,10.116666666666667,28.5,1.0,0.30634429212010383,45,week1
