seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
101,QB,qb_4pt,2025,model,6.0,14.0,27.0,228.57999999999998,7.953333333333333,12.0,0.0,0.3895472853271177,45
101,QB,qb_4pt,2025,consensus,5.0,15.0,35.0,238.02,7.166666666666664,13.5,0.0,0.7204758618922802,44
101,QB,qb_4pt,2025,prior_ppg,4.0,14.0,30.0,183.84000000000003,11.681666666666663,21.5,2.0,0.2426923264650963,40
101,QB,qb_6pt,2021,model,5.0,17.0,34.0,279.3,10.541666666666663,17.5,1.0,0.6664613100635588,47
101,QB,qb_6pt,2021,consensus,7.0,16.0,33.0,321.65999999999997,7.011666666666666,8.5,1.0,0.6471157156562392,45
101,QB,qb_6pt,2021,prior_ppg,6.0,14.0,25.0,285.7,10.008333333333331,16.0,2.0,0.19162647947943467,42
101,QB,qb_6pt,2022,model,7.0,20.0,33.0,273.32,5.425000000000002,9.0,2.0,0.7811137634033715,46
101,QB,qb_6pt,2022,consensus,7.0,18.0,31.0,265.82,6.050000000000002,9.5,1.0,0.7258056933786318,46
101,QB,qb_6pt,2022,prior_ppg,8.0,14.0,26.0,262.84000000000003,6.298333333333332,9.0,2.0,0.4138258418543136,45
101,QB,qb_6pt,2023,model,4.0,17.0,32.0,166.20000000000002,10.021666666666668,19.5,2.0,0.5542579556828987,45
101,QB,qb_6pt,2023,consensus,5.0,19.0,32.0,186.54000000000002,8.326666666666668,17.0,2.0,0.5986837193493466,45
101,QB,qb_6pt,2023,prior_ppg,3.0,15.0,26.0,162.95999999999998,10.291666666666671,19.5,3.0,0.20029249821122053,42
101,QB,qb_6pt,2024,model,7.0,19.0,33.0,249.8,4.8549999999999995,10.0,0.0,0.8462370003995859,50
101,QB,qb_6pt,2024,consensus,7.0,19.0,33.0,249.20000000000005,4.904999999999997,9.5,0.0,0.8141736273021586,50
101,QB,qb_6pt,2024,prior_ppg,6.0,17.0,24.0,204.04000000000002,8.668333333333331,12.5,2.0,0.41527073055493174,45
101,QB,qb_6pt,2025,model,5.0,15.0,27.0,226.54000000000002,11.62333333333333,19.5,0.0,0.37247708590162254,45
101,QB,qb_6pt,2025,consensus,5.0,17.0,35.0,272.02,7.833333333333333,13.5,0.0,0.7248898444453752,44
101,QB,qb_6pt,2025,prior_ppg,4.0,14.0,30.0,209.84000000000003,13.014999999999995,19.5,2.0,0.2731352283434606,40
101,RB,half_ppr,2021,model,5.0,14.0,26.0,150.10000000000002,6.666666666666667,14.5,3.0,0.5632387319768253,49
101,RB,half_ppr,2021,consensus,4.0,14.0,24.0,140.8,7.441666666666667,22.0,3.0,0.5382680463006757,47
101,RB,half_ppr,2021,prior_ppg,6.0,14.0,24.0,165.2,5.408333333333336,13.0,2.0,0.4605397990692521,45
101,RB,half_ppr,2022,model,5.0,14.0,26.0,187.70000000000002,5.466666666666664,15.0,0.0,0.5619577476264541,47
101,RB,half_ppr,2022,consensus,4.0,11.0,23.0,181.79999999999998,5.958333333333333,19.0,0.0,0.3673658410417296,46
